中文名称,英文全称,PubChem CID
间氨基苯酚盐酸盐,M-AMINOPHENOL HCL,12231984
间氨基苯酚硫酸盐,M-AMINOPHENOL SULFATE,163205
羟基积雪草酸,MADECASSIC ACID,73412
羟基积雪草苷,MADECASSOSIDE,24825675
抗坏血酸镁,MAGNESIUM ASCORBATE,54682511
抗坏血酸磷酸酯镁,MAGNESIUM ASCORBYL PHOSPHATE,71587428
PCA 镁,MAGNESIUM PCA,18601084
水杨酸镁,MAGNESIUM SALICYLATE,54684589
木兰醇,MAGNOLOL,72300
马来酸,MALEIC ACID,444266
PCA 锰,MANGANESE PCA,16097728
甘露糖醇,MANNITOL,6251
苦参碱,MATRINE,91466
MDM 乙内酰脲,MDM HYDANTOIN,67000
褪黑激素,MELATONIN,896
甲萘醌,MENADIONE,4055
蛋氨酸,METHIONINE,6137
2-辛炔酸甲酯,METHYL 2-OCTYNOATE,8092
邻氨基苯甲酸甲酯,METHYL ANTHRANILATE,8635
苯甲酸甲酯,METHYL BENZOATE,7150
丁香酚甲醚,METHYL EUGENOL,7127
水杨酸甲酯,METHYL SALICYLATE,4133
酪氨酸甲酯盐酸盐,METHYL TYROSINATE HCL,76956
甲基氯异噻唑啉酮,METHYLCHLOROISOTHIAZOLINONE,33344
甲基异噻唑啉酮,METHYLISOTHIAZOLINONE,39800
羟苯甲酯,METHYLPARABEN,7456
甲基丙二醇,METHYLPROPANEDIOL,75103
甲瓦龙酸内酯,MEVALONOLACTONE,6419891
吗啉,MORPHOLINE,8083
酮麝香,MUSK KETONE,6669
月桂烯,MYRCENE,31253
杨梅素,MYRICETIN,5281672
肉豆蔻酸,MYRISTIC ACID,11005
正丁醇,N-BUTYL ALCOHOL,263
柚皮苷,NARINGIN,442428
新橙皮苷二氢查耳酮,NEOHESPERIDIN DIHYDROCHALCONE,30231
新鲁斯可皂苷元,NEORUSCOGENIN,9910474
烟酸,NIACIN,938
烟酰胺,NIACINAMIDE,936
烟酰胺腺嘌呤二核苷酸,NICOTINAMIDE ADENINE DINUCLEOTIDE,5892
三七皂苷 R1,NOTOGINSENOSIDE R1,441934
邻伞花烃-5-醇,O-CYMEN-5-OL,18597
邻苯基苯酚,O-PHENYLPHENOL,7017
邻甲苯基双胍,O-TOLYL BIGUANIDE,7155
十八烷醇二-叔丁基-4-羟基氢化肉桂酸酯,OCTADECYL DI-T-BUTYL-4-HYDROXYHYDROCINNAMATE,16386
奥克三唑,OCTRIZOLE,62485
油酰胺丙基甜菜碱,OLEAMIDOPROPYL BETAINE,6436555
石竹素,OLEANOLIC ACID,10494
油酸,OLEIC ACID,445639
油酰酪氨酸,OLEOYL TYROSINE,52922062
油醇乙酸酯,OLEYL ACETATE,5363289
油醇,OLEYL ALCOHOL,5284499
油基甜菜碱,OLEYL BETAINE,6436882
油醇芥酸酯,OLEYL ERUCATE,6436475
油醇油酸酯,OLEYL OLEATE,5364672
鸟氨酸,ORNITHINE,6262
鸟氨酸盐酸盐,ORNITHINE HCL,76654
羟基喹啉,OXYQUINOLINE,1923
羟基喹啉苯甲酸盐,OXYQUINOLINE BENZOATE,62626
对氨基苯酚,P-AMINOPHENOL,403
对氨基苯酚盐酸盐,P-AMINOPHENOL HCL,5828
对氨基苯酚硫酸盐,P-AMINOPHENOL SULFATE,45158326
对茴香酸,P-ANISIC ACID,7478
对氯间甲酚,P-CHLORO-M-CRESOL,1732
对氯苯酚,P-CHLOROPHENOL,4684
对伞花烃,P-CYMENE,7463
对羟基茴香醚,P-HYDROXYANISOLE,9015
对甲基乙酰苯,P-METHYL ACETOPHENONE,8500
对甲氨基苯酚,P-METHYLAMINOPHENOL,5931
对甲基氨基苯酚硫酸盐,P-METHYLAMINOPHENOL SULFATE,5930
丹皮酚,PAEONOL,11092
棕榈酰胺,PALMITAMIDE,69421
棕榈酸,PALMITIC ACID,985
泛硫乙胺,PANTETHINE,452306
泛醇三乙酸酯,PANTHENYL TRIACETATE,11681493
泛内酯,PANTOLACTONE,439368
泛酸,PANTOTHENIC ACID,6613
副黄嘌呤,PARAXANTHINE,4687
十五内酯,PENTADECALACTONE,235414
苯乙醇乙酸酯,PHENETHYL ACETATE,7654
苯乙醇,PHENETHYL ALCOHOL,6054
苯乙醇苯甲酸酯,PHENETHYL BENZOATE,7194
苯氧乙醇,PHENOXYETHANOL,31236
苯基甲基吡唑啉酮,PHENYL METHYL PYRAZOLONE,4021
水杨酸苯酯,PHENYL SALICYLATE,8361
苯丙氨酸,PHENYLALANINE,6140
苯基苯并咪唑磺酸,PHENYLBENZIMIDAZOLE SULFONIC ACID,33919
根皮素,PHLORETIN,4788
间苯三酚三甲基醚,PHLOROGLUCINOL TRIMETHYL ETHER,69301
蒎烷二醇,PINANEDIOL,6553875
胡椒碱,PIPERINE,638024
苯甲酸钾,POTASSIUM BENZOATE,23661960
PCA 钾,POTASSIUM PCA,23684897
羟苯丙酯钾,POTASSIUM PROPYLPARABEN,23662516
巯基乙酸钾,POTASSIUM THIOGLYCOLATE,23688957
脯氨酸,PROLINE,145742
丙酸,PROPIONIC ACID,1032
丙醇,PROPYL ALCOHOL,1031
苯甲酸丙酯,PROPYL BENZOATE,16846
棓酸丙酯,PROPYL GALLATE,4947
羟苯丙酯,PROPYLPARABEN,7175
拟人参皂苷 F11,PSEUDOGINSENOSIDE F11,21633072
吡哆醛 5-磷酸酯,PYRIDOXAL 5-PHOSPHATE,1051
吡哆素,PYRIDOXINE,1054
吡哆素盐酸盐,PYRIDOXINE HCL,6019
吡哆素三棕榈酸酯,PYRIDOXINE TRIPALMITATE,20390
丙酮酸,PYRUVIC ACID,1060
五羟黄酮,QUERCETIN,5280343
奎宁,QUININE,3034034
覆盆子酮,RASPBERRY KETONE,21648
间苯二酚,RESORCINOL,5054
乙酸间苯二酚酯,RESORCINOL ACETATE,5055
白藜芦醇,RESVERATROL,445154
视黄醛,RETINAL,638015
视黄醇,RETINOL,445354
视黄醇乙酸酯,RETINYL ACETATE,638034
视黄醇亚油酸酯,RETINYL LINOLEATE,9807563
视黄醇棕榈酸酯,RETINYL PALMITATE,5280531
视黄醇丙酸酯,RETINYL PROPIONATE,6394572
视黄醇视黄酸酯,RETINYL RETINOATE,10303376
核黄素,RIBOFLAVIN,493570
核黄素四乙酸酯,RIBOFLAVIN TETRAACETATE,9915369
鲁斯可皂苷元,RUSCOGENIN,441893
芸香苷,RUTIN,5280805
水杨酸,SALICYLIC ACID,338
肌氨酸,SARCOSINE,1088
滨蒿内酯,SCOPARONE,8417
癸二酸,SEBACIC ACID,5192
丝氨酸,SERINE,5951
5-硝基愈创木酚钠,SODIUM 5-NITROGUAIACOLATE,3017748
抗坏血酸钠,SODIUM ASCORBATE,23667548
抗坏血酸磷酸酯钠,SODIUM ASCORBYL PHOSPHATE,10990876
苯甲酸钠,SODIUM BENZOATE,517055
β-谷甾醇硫酸酯钠,SODIUM BETA-SITOSTERYL SULFATE,71587409
羟苯丁酯钠,SODIUM BUTYLPARABEN,23671890
脱氢乙酸钠,SODIUM DEHYDROACETATE,23721629
异抗坏血酸钠,SODIUM ERYTHORBATE,23683938
羟苯乙酯钠,SODIUM ETHYLPARABEN,23681179
甘醇酸钠,SODIUM GLYCOLATE,517347
月桂酸钠,SODIUM LAURATE,2735067
羟苯甲酯钠,SODIUM METHYLPARABEN,23663626
邻苯基苯酚钠,SODIUM O-PHENYLPHENATE,23675735
石竹素钠,SODIUM OLEANOLATE,49857633
油酸钠,SODIUM OLEATE,23665730
羟苯甲酸钠,SODIUM PARABEN,16219477
苯基苯并咪唑磺酸钠,SODIUM PHENYLBENZIMIDAZOLE SULFONATE,23663543
羟苯丙酯钠,SODIUM PROPYLPARABEN,23679044
水杨酸钠,SODIUM SALICYLATE,16760658
熊果酸钠,SODIUM URSOLATE,71587647
山梨酸,SORBIC ACID,643460
山梨（糖）醇,SORBITOL,5780
亚精胺,SPERMIDINE,1102
二氢（神经）鞘氨醇,SPHINGANINE,91486
角鲨烯,SQUALENE,638072
硬脂酰胺,STEARAMIDE,31292
硬脂酰胺 AMP,STEARAMIDE AMP,13410460
硬脂酰胺 DEA,STEARAMIDE DEA,7163
硬脂酰胺 MEA,STEARAMIDE MEA,27902
硬脂胺,STEARAMINE,15793
硬脂酸,STEARIC ACID,5281
硬脂酮,STEARONE,10440
甜叶菊苷,STEVIOSIDE,442089
琥珀酸,SUCCINIC ACID,1110
蔗糖,SUCROSE,5988
叔丁醇,T-BUTYL ALCOHOL,6386
牛磺酸,TAURINE,1123
乙二胺四乙酸 TEA 盐,TEA-EDTA,6453998
月桂酸 TEA 盐,TEA-LAURATE,62441
肉豆蔻酸 TEA 盐,TEA-MYRISTATE,61993
油酸 TEA 盐,TEA-OLEATE,6433344
棕榈酸 TEA 盐,TEA-PALMITATE,162574
替普瑞酮,TEPRENONE,5282199
异松油烯,TERPINOLENE,11463
四丁基亚乙基双苯酚,TETRABUTYL ETHYLIDENEBISPHENOL,118899
四氢姜黄素,TETRAHYDROCURCUMIN,124072
四氢木兰醇,TETRAHYDROMAGNOLOL,5321851
四氢胡椒碱,TETRAHYDROPIPERINE,581676
EDTA 四钠,TETRASODIUM EDTA,6144
茶氨酸,THEANINE,439378
可可碱,THEOBROMINE,5429
茶碱,THEOPHYLLINE,2153
